Gene,Cluster
ENSG00000066248,12
ENSG00000066279,14
ENSG00000066468,3
ENSG00000066651,11
ENSG00000067057,1
ENSG00000067064,4
ENSG00000067082,9
ENSG00000067182,7
ENSG00000067191,11
ENSG00000067533,16
ENSG00000067798,1
ENSG00000067955,3
ENSG00000067992,4
ENSG00000068024,1
ENSG00000068028,18
ENSG00000068137,12
ENSG00000068489,14
ENSG00000068650,20
ENSG00000069020,7
ENSG00000069399,7
ENSG00000069424,12
ENSG00000069535,14
ENSG00000069702,8
ENSG00000070081,5
ENSG00000070182,12
ENSG00000070404,1
ENSG00000070423,20
ENSG00000070526,11
ENSG00000070540,12
ENSG00000070759,5
ENSG00000070814,16
ENSG00000070882,20
ENSG00000070950,1
ENSG00000071243,16
ENSG00000071282,3
ENSG00000071537,5
ENSG00000071539,18
ENSG00000071575,11
ENSG00000072110,1
ENSG00000072201,3
ENSG00000072422,5
ENSG00000072571,14
ENSG00000072786,15
ENSG00000072818,12
ENSG00000072864,14
ENSG00000072954,1
ENSG00000073008,11
ENSG00000073067,12
ENSG00000073111,16
ENSG00000073331,12
ENSG00000073464,1
ENSG00000073536,16
ENSG00000073605,12
ENSG00000073711,8
ENSG00000073849,11
ENSG00000073910,10
ENSG00000074047,18
ENSG00000074181,12
ENSG00000074416,3
ENSG00000074527,7
ENSG00000074582,16
ENSG00000074696,19
ENSG00000074964,12
ENSG00000075043,8
ENSG00000075131,16
ENSG00000075223,13
ENSG00000075618,18
ENSG00000075624,18
ENSG00000075702,18
ENSG00000075945,1
ENSG00000076003,16
ENSG00000076043,3
ENSG00000076067,9
ENSG00000076248,20
ENSG00000076258,4
ENSG00000076351,11
ENSG00000076356,1
ENSG00000076513,5
ENSG00000076555,13
ENSG00000076716,11
ENSG00000077238,1
ENSG00000077514,1
ENSG00000078081,6
ENSG00000078401,9
ENSG00000078487,7
ENSG00000078804,5
ENSG00000078900,12
ENSG00000079112,6
ENSG00000079215,8
ENSG00000079335,7
ENSG00000079337,11
ENSG00000079385,11
ENSG00000079459,4
ENSG00000079739,5
ENSG00000080031,7
ENSG00000080493,18
ENSG00000080546,13
ENSG00000080608,20
ENSG00000081059,20
ENSG00000081692,20
ENSG00000081803,7
ENSG00000082269,3
ENSG00000082438,13
ENSG00000082458,11
ENSG00000082497,1
ENSG00000082512,20
ENSG00000082516,16
ENSG00000082898,4
ENSG00000083635,20
ENSG00000083799,5
ENSG00000084636,3
ENSG00000084764,2
ENSG00000085117,5
ENSG00000085415,16
ENSG00000085465,6
ENSG00000085644,4
ENSG00000085831,12
ENSG00000085840,19
ENSG00000085999,16
ENSG00000086548,14
ENSG00000086619,5
ENSG00000086696,3
ENSG00000086712,20
ENSG00000087074,11
ENSG00000087095,12
ENSG00000087269,16
ENSG00000087586,14
ENSG00000087842,4
ENSG00000088002,8
ENSG00000088205,18
ENSG00000088280,12
ENSG00000088367,1
ENSG00000088538,5
ENSG00000089127,3
ENSG00000089195,1
ENSG00000089225,18
ENSG00000089351,3
ENSG00000089356,12
ENSG00000089472,6
ENSG00000089723,15
ENSG00000090097,16
ENSG00000090238,5
ENSG00000090339,11
ENSG00000090382,6
ENSG00000090447,16
ENSG00000090554,13
ENSG00000090889,14
ENSG00000090924,3
ENSG00000091127,16
ENSG00000091136,11
ENSG00000091262,5
ENSG00000091482,11
ENSG00000091527,3
ENSG00000091592,13
ENSG00000091651,16
ENSG00000091879,20
ENSG00000091986,6
ENSG00000092068,5
ENSG00000092439,12
ENSG00000092470,16
ENSG00000092758,5
ENSG00000092820,1
ENSG00000092853,16
ENSG00000092964,20
ENSG00000093009,16
ENSG00000094755,1
ENSG00000094804,16
ENSG00000095002,19
