Gene,Cluster
ENSG00000100908,6
ENSG00000100911,7
ENSG00000100918,7
ENSG00000100968,7
ENSG00000100994,2
ENSG00000100997,13
ENSG00000101000,17
ENSG00000101017,13
ENSG00000101057,6
ENSG00000101104,15
ENSG00000101109,9
ENSG00000101115,1
ENSG00000101160,7
ENSG00000101166,10
ENSG00000101187,4
ENSG00000101197,2
ENSG00000101198,1
ENSG00000101204,11
ENSG00000101224,6
ENSG00000101236,9
ENSG00000101255,15
ENSG00000101266,17
ENSG00000101276,16
ENSG00000101310,6
ENSG00000101311,17
ENSG00000101333,2
ENSG00000101335,3
ENSG00000101342,16
ENSG00000101347,15
ENSG00000101361,10
ENSG00000101384,4
ENSG00000101412,14
ENSG00000101417,5
ENSG00000101447,6
ENSG00000101574,18
ENSG00000101577,13
ENSG00000101596,3
ENSG00000101605,13
ENSG00000101665,17
ENSG00000101670,7
ENSG00000101680,20
ENSG00000101773,14
ENSG00000101846,15
ENSG00000101849,7
ENSG00000101868,10
ENSG00000101871,16
ENSG00000101945,10
ENSG00000101951,13
ENSG00000101974,15
ENSG00000101986,13
ENSG00000102024,6
ENSG00000102030,10
ENSG00000102032,13
ENSG00000102043,5
ENSG00000102103,10
ENSG00000102181,15
ENSG00000102221,20
ENSG00000102243,13
ENSG00000102316,13
ENSG00000102384,6
ENSG00000102401,20
ENSG00000102531,13
ENSG00000102547,7
ENSG00000102554,7
ENSG00000102595,3
ENSG00000102678,20
ENSG00000102738,10
ENSG00000102743,17
ENSG00000102780,3
ENSG00000102786,19
ENSG00000102796,15
ENSG00000102804,16
ENSG00000102878,16
ENSG00000102882,7
ENSG00000102886,20
ENSG00000102897,3
ENSG00000102934,9
ENSG00000102967,17
ENSG00000102984,20
ENSG00000102996,2
ENSG00000103024,13
ENSG00000103037,17
ENSG00000103044,3
ENSG00000103056,7
ENSG00000103089,11
ENSG00000103121,10
ENSG00000103126,3
ENSG00000103145,13
ENSG00000103184,7
ENSG00000103196,12
ENSG00000103227,15
