Gene,Cluster
ENSG00000099256,8
ENSG00000099365,5
ENSG00000099377,9
ENSG00000099617,12
ENSG00000099860,9
ENSG00000099875,20
ENSG00000099899,18
ENSG00000099901,11
ENSG00000099953,20
ENSG00000099974,6
ENSG00000099999,10
ENSG00000100027,17
ENSG00000100029,11
ENSG00000100031,12
ENSG00000100060,10
ENSG00000100075,15
ENSG00000100100,13
ENSG00000100124,7
ENSG00000100139,9
ENSG00000100162,8
ENSG00000100196,9
ENSG00000100197,4
ENSG00000100206,9
ENSG00000100219,9
ENSG00000100241,15
ENSG00000100242,3
ENSG00000100246,12
ENSG00000100271,9
ENSG00000100290,2
ENSG00000100294,11
ENSG00000100296,11
ENSG00000100297,4
ENSG00000100304,11
ENSG00000100307,10
ENSG00000100311,10
ENSG00000100321,12
ENSG00000100330,2
ENSG00000100342,9
ENSG00000100354,13
ENSG00000100379,15
ENSG00000100387,6
ENSG00000100395,6
ENSG00000100410,8
ENSG00000100413,7
ENSG00000100417,10
ENSG00000100418,6
ENSG00000100439,3
ENSG00000100441,17
ENSG00000100479,8
ENSG00000100483,18
ENSG00000100485,17
ENSG00000100522,6
ENSG00000100526,6
ENSG00000100558,18
ENSG00000100575,6
ENSG00000100577,17
ENSG00000100591,11
ENSG00000100596,12
ENSG00000100614,2
ENSG00000100711,20
ENSG00000100726,11
ENSG00000100731,11
ENSG00000100749,8
ENSG00000100767,9
ENSG00000100784,2
ENSG00000100796,4
ENSG00000100802,17
ENSG00000100814,19
ENSG00000100889,9
ENSG00000100897,10
ENSG00000100902,11
ENSG00000100911,19
ENSG00000100968,10
ENSG00000100994,8
ENSG00000101003,6
ENSG00000101040,2
ENSG00000101076,3
ENSG00000101084,6
ENSG00000101096,3
ENSG00000101104,9
ENSG00000101194,6
ENSG00000101198,15
ENSG00000101213,10
ENSG00000101220,11
ENSG00000101255,9
ENSG00000101266,11
ENSG00000101310,11
ENSG00000101342,9
ENSG00000101343,2
ENSG00000101347,18
ENSG00000101350,1
ENSG00000101361,11
ENSG00000101412,4
ENSG00000101441,12
ENSG00000101447,11
ENSG00000101493,12
ENSG00000101577,5
ENSG00000101605,20
ENSG00000101608,9
ENSG00000101624,2
ENSG00000101639,8
ENSG00000101654,2
ENSG00000101670,10
ENSG00000101745,2
ENSG00000101752,17
ENSG00000101773,19
ENSG00000101782,2
ENSG00000101844,11
ENSG00000101850,20
ENSG00000101888,3
ENSG00000101898,18
ENSG00000101911,8
ENSG00000101928,2
ENSG00000101935,6
ENSG00000101945,11
ENSG00000101972,17
ENSG00000102003,10
ENSG00000102007,1
ENSG00000102030,11
ENSG00000102032,12
ENSG00000102048,11
ENSG00000102054,19
ENSG00000102057,15
ENSG00000102103,1
ENSG00000102158,19
ENSG00000102195,9
ENSG00000102218,17
ENSG00000102226,17
ENSG00000102271,11
ENSG00000102316,12
ENSG00000102349,10
ENSG00000102362,3
ENSG00000102384,11
ENSG00000102385,18
ENSG00000102393,11
ENSG00000102531,19
ENSG00000102547,18
ENSG00000102554,16
ENSG00000102572,2
ENSG00000102678,5
ENSG00000102699,10
ENSG00000102743,6
ENSG00000102780,11
ENSG00000102781,3
ENSG00000102786,19
ENSG00000102804,16
ENSG00000102871,15
ENSG00000102879,11
ENSG00000102882,12
ENSG00000102908,17
ENSG00000102934,17
ENSG00000102967,6
ENSG00000102984,17
ENSG00000103021,12
ENSG00000103044,2
ENSG00000103089,20
ENSG00000103145,12
ENSG00000103160,17
ENSG00000103175,19
ENSG00000103187,11
ENSG00000103202,11
ENSG00000103249,17
ENSG00000103257,19
ENSG00000103269,20
ENSG00000103351,5
ENSG00000103355,12
ENSG00000103356,11
ENSG00000103365,8
ENSG00000103381,6
ENSG00000103415,11
ENSG00000103423,11
ENSG00000103460,17
ENSG00000103479,10
ENSG00000103489,7
ENSG00000103507,15
ENSG00000103534,12
ENSG00000103657,4
ENSG00000103811,12
ENSG00000103888,17
ENSG00000104067,2
ENSG00000104081,2
ENSG00000104131,6
ENSG00000104147,6
ENSG00000104205,5
ENSG00000104218,2
ENSG00000104231,9
ENSG00000104312,4
ENSG00000104327,15
ENSG00000104356,11
ENSG00000104368,15
ENSG00000104413,17
ENSG00000104419,17
ENSG00000104427,5
ENSG00000104450,8
ENSG00000104497,5
ENSG00000104518,12
ENSG00000104549,15
ENSG00000104611,6
ENSG00000104738,11
ENSG00000104765,17
ENSG00000104783,17
ENSG00000104805,12
ENSG00000104825,11
ENSG00000104856,3
ENSG00000104863,9
ENSG00000104870,12
ENSG00000104880,3
ENSG00000104881,17
ENSG00000104888,20
ENSG00000104889,8
ENSG00000104892,15
ENSG00000104946,3
ENSG00000104960,20
ENSG00000104969,11
ENSG00000104976,1
ENSG00000104980,19
ENSG00000105011,8
ENSG00000105185,11
ENSG00000105204,14
ENSG00000105227,17
ENSG00000105270,10
ENSG00000105281,19
ENSG00000105289,10
ENSG00000105327,2
ENSG00000105339,17
ENSG00000105355,10
ENSG00000105357,12
ENSG00000105376,12
ENSG00000105379,10
ENSG00000105388,12
ENSG00000105402,1
ENSG00000105419,12
ENSG00000105427,15
ENSG00000105443,3
ENSG00000105447,11
ENSG00000105486,4
ENSG00000105492,12
ENSG00000105499,12
ENSG00000105523,12
ENSG00000105538,12
ENSG00000105550,9
ENSG00000105552,6
ENSG00000105576,6
ENSG00000105617,4
ENSG00000105619,7
ENSG00000105649,14
ENSG00000105655,3
ENSG00000105656,13
ENSG00000105676,11
ENSG00000105711,20
ENSG00000105732,14
ENSG00000105737,1
ENSG00000105792,17
ENSG00000105808,12
ENSG00000105810,17
ENSG00000105821,11
ENSG00000105829,12
ENSG00000105835,5
ENSG00000105849,6
ENSG00000105854,9
ENSG00000105855,13
ENSG00000105856,2
ENSG00000105928,12
ENSG00000105929,18
ENSG00000105939,6
ENSG00000105968,13
ENSG00000105974,15
ENSG00000105982,20
ENSG00000106003,3
ENSG00000106066,9
ENSG00000106069,5
ENSG00000106070,9
ENSG00000106077,19
ENSG00000106080,6
ENSG00000106105,19
ENSG00000106123,3
ENSG00000106125,11
ENSG00000106258,10
ENSG00000106261,17
ENSG00000106299,2
ENSG00000106305,8
ENSG00000106330,10
ENSG00000106333,10
ENSG00000106344,4
ENSG00000106355,11
ENSG00000106366,4
ENSG00000106367,20
ENSG00000106392,12
ENSG00000106399,12
ENSG00000106404,15
ENSG00000106459,6
ENSG00000106479,10
ENSG00000106526,19
ENSG00000106538,20
ENSG00000106546,16
ENSG00000106554,11
ENSG00000106591,6
ENSG00000106603,19
ENSG00000106610,19
ENSG00000106701,19
ENSG00000106785,18
ENSG00000106823,9
ENSG00000106829,2
ENSG00000106948,2
ENSG00000106976,10
ENSG00000107014,20
ENSG00000107185,3
ENSG00000107201,12
ENSG00000107223,6
ENSG00000107249,4
ENSG00000107331,9
ENSG00000107371,6
ENSG00000107554,2
ENSG00000107643,17
ENSG00000107731,18
ENSG00000107745,10
ENSG00000107771,9
ENSG00000107796,12
ENSG00000107815,11
ENSG00000107819,10
ENSG00000107854,2
ENSG00000107864,10
ENSG00000107937,6
ENSG00000107949,11
ENSG00000107968,2
ENSG00000107984,16
ENSG00000108021,8
ENSG00000108175,17
ENSG00000108179,11
ENSG00000108187,5
ENSG00000108244,9
ENSG00000108306,17
ENSG00000108312,6
ENSG00000108379,17
ENSG00000108405,10
ENSG00000108406,17
ENSG00000108433,8
ENSG00000108469,10
ENSG00000108511,10
ENSG00000108551,19
ENSG00000108561,11
ENSG00000108578,11
ENSG00000108590,11
ENSG00000108592,11
ENSG00000108602,10
ENSG00000108604,7
ENSG00000108669,2
