"Cluster_ID" "Drug" "Cluster" "Onset" "Direction" "Peak" "Trend" "Diff_than_DMSO" "Full_name"
"PIPD_9" "PIPD" 9 4 "Down" 24 "Continuous" 0 "Onset_4h_Down_Peak_24h_Continuous"
"PIPD_10" "PIPD" 10 0 "Up" 2 "Transitory" 1 "Onset_0h_Up_Peak_2h_Transitory"
"PIPD_11" "PIPD" 11 1 "Down" 8 "Stable" 1 "Onset_1h_Down_Peak_8h_Stable"
"PIPD_12" "PIPD" 12 1 "Down" 4 "Reversed" 1 "Onset_1h_Down_Peak_4h_Reversed"
"PIPD_13" "PIPD" 13 4 "Up" 24 "Continuous" 1 "Onset_4h_Up_Peak_24h_Continuous"
"PIPD_14" "PIPD" 14 0 "Down" 2 "Reduced" 1 "Onset_0h_Down_Peak_2h_Reduced"
"PIPD_15" "PIPD" 15 1 "Up" 24 "Continuous" 1 "Onset_1h_Up_Peak_24h_Continuous"
"PIPD_16" "PIPD" 16 2 "Down" 8 "Transitory" 1 "Onset_2h_Down_Peak_8h_Transitory"
"PIPD_17" "PIPD" 17 1 "Up" 8 "Reduced" 1 "Onset_1h_Up_Peak_8h_Reduced"
"PIPD_18" "PIPD" 18 1 "Down" 24 "Continuous" 1 "Onset_1h_Down_Peak_24h_Continuous"
"PIPD_19" "PIPD" 19 1 "Up" 2 "Reversed" 1 "Onset_1h_Up_Peak_2h_Reversed"
"PIPD_20" "PIPD" 20 4 "Up" 24 "Continuous" 1 "Onset_4h_Up_Peak_24h_Continuous"
