"Row.names","hclust_analysis","C.x","1h","2h","4h","8h","24h","C.y","DMSO_1h","DMSO_2h","DMSO_4h","DMSO_8h","DMSO_24h","CORR"
"ENSG00000155660",8,0,-0.0741131330178594,0.012378280907688,0.305655141347311,2.44124826075794,-0.141136104103801,0,0.185715597618271,-0.182317191891007,-0.0175964217809604,1.67340259308253,-1.46224144104306,0.884545595017214
"ENSG00000111684",8,0,-0.376608912847783,0.0713503377704379,1.2881171550658,2.17463806168499,-0.110445704666233,0,-0.0181710811807238,0.0282797638459518,0.0229935807753291,0.327841977496244,-2.35686458444349,0.889265722762892
"ENSG00000186470",8,0,-0.202942590230638,-0.286094500991747,0.674892874282836,2.13088226117079,-0.606762481916574,0,-0.455486154005624,-0.0696891651589087,-0.856574733421689,0.21685557468611,-2.49880986857554,0.889671454167918
"ENSG00000185222",8,0,0.243350616048407,0.330286641122237,1.37526822165025,2.52709178855405,0.0746782064986834,0,0.637678543733867,0.20143588896993,-0.584296138003806,1.49909163956138,-1.40854241130999,0.890176738127957
"ENSG00000180340",8,0,0.169610140725106,0.483684982512838,1.0319914277939,2.35403519222759,-0.485511361812337,0,-0.306879446763733,-0.15746233362733,-0.637960671484354,0.520090155060885,-2.3804222991856,0.891492446094806
"ENSG00000100867",8,0,-0.191501711198707,0.00526096434597334,0.814881112641175,2.19180766537971,-0.577610581946927,0,-0.966431436763156,-0.480483918581774,-0.364564523598619,-0.0387554388375564,-2.6640593614344,0.892229849886219
"ENSG00000176920",8,0,-0.0340607167665823,0.437549993419774,0.785701759684484,2.51420820254368,-0.1161885769648,0,-0.00859010296522067,0.13826541294241,-0.105507281647447,0.463184242438652,-2.30318943111673,0.895288416682542
"ENSG00000176153",8,0,0.0893590472922647,0.0307478907686938,0.874391977791251,2.5474732500256,0.165069555523994,0,0.432836252989687,0.105479563634712,0.524675335245521,1.84684998018816,-1.25394774087469,0.895299393112373
"ENSG00000100075",8,0,-0.336607963023026,0.424023113726731,1.07248512350148,2.43444641558385,0.212101446646523,0,-0.132212472909794,0.239455226962808,0.172721483705763,0.815644861938718,-2.09694648589642,0.896285270208652
"ENSG00000010704",8,0,-0.0334957571858416,0.226459160051959,1.3985132413716,2.25924111132887,-0.241700336614062,0,0.144893271257308,-0.753596740746895,-0.0363489945924357,0.454318114610372,-2.28598519469156,0.900081887106264
"ENSG00000147130",8,0,-0.210175816125025,0.0825485468763947,1.04589001844807,2.07794159249143,-0.66538528796087,0,-0.12349275650485,-0.160093776450352,0.378899484020969,0.3793348650555,-2.28415880155695,0.900660957495683
"ENSG00000169174",8,0,-0.333860190515666,0.165258865205856,1.21419782759111,2.0767445822513,-0.483982174868227,0,-0.235666890701554,0.241702907055177,0.490343219465543,1.06663512171718,-1.87732771423228,0.901374019067102
"ENSG00000108984",8,0,-0.155002298908133,0.354662327516033,1.49166578306664,2.34608183474748,0.131179019088629,0,0.0925547717537359,0.337040615254309,-0.00204992543419269,1.17158619428016,-1.87562257116056,0.901614266506262
"ENSG00000131389",8,0,0.0273132677015884,0.721437759293564,1.30243090068623,2.59123337166003,0.254656195116372,0,0.370033837275551,0.332392063500525,0.407235236735385,1.18566890502694,-1.79516925494877,0.90291947533266
"ENSG00000105974",8,0,-0.299055354104395,0.262856031096209,0.670618115571116,2.42929187612666,-0.0513809313991382,0,-0.119529957682902,-0.748952708549058,0.772723729162086,0.940427993618014,-1.75542649376864,0.903193850081497
"ENSG00000131069",8,0,-0.178478194373163,-0.042953902739389,0.61696433810022,2.13340219646849,-0.749610634146784,0,-0.264179185926018,-0.205913109265829,0.266452589405759,1.45304375921358,-1.65306787962948,0.905932470649174
"ENSG00000158055",8,0,-0.353945707098441,-0.0024191147050921,0.818949586886377,1.99823881198027,-0.814224358744479,0,-0.227100379906764,-0.11550850638664,-0.166348350648485,0.68871548292602,-2.27217616813381,0.907497421155752
"ENSG00000029534",8,0,-0.318470958907694,-0.105810030320952,0.623959579696373,1.95789294851577,-0.95227749158914,0,-0.449498306276394,-0.340877066418607,0.0380093633801414,0.717643942982345,-2.24270943187255,0.908485174824858
"ENSG00000221878",8,0,-0.320396806941803,0.448456603897017,1.16782858985984,2.3825366188715,0.076512511307511,0,-0.493905955299117,-0.205957749466938,0.0220797977471346,0.991067785434731,-2.0588233107625,0.910043783731846
"ENSG00000130830",8,0,-0.0113921045998756,0.224712194443819,0.979143459135334,2.39700758799907,-0.275202727247861,0,0.403724249076954,0.0612308396847578,0.252883109368109,0.789189961913068,-2.04824462971715,0.911658017789517
"ENSG00000173727",8,0,0.258719405143599,-0.263211132010774,0.919821363251634,2.17337130017986,-0.583351673830897,0,-0.000698209123878968,-0.300086294252029,0.180803131728285,1.21781608916166,-1.86903933124737,0.911824339279711
"ENSG00000133935",8,0,-0.0547215066644788,0.0605923641526739,0.918831527946823,2.15102597103496,-0.687555062654126,0,-0.151827348856015,-0.0515678291336606,0.382134836011079,0.986637036803517,-1.99216984519438,0.914850753776867
"ENSG00000136848",8,0,-0.257455540492979,-0.105171502897039,1.02439756216032,2.13296138375283,-0.472080050448436,0,-0.0816128969888119,-0.729736023102432,0.0606314392489294,1.49799124491114,-1.52082223477926,0.915646151738532
"ENSG00000139428",8,0,0.307183701113407,0.336106148976838,1.41539319254072,2.61494346763674,0.315086161786582,0,-0.0546131844384466,-0.343614424898107,-0.0808205405109372,1.55508436549945,-1.58001908387477,0.915789966158626
"ENSG00000204386",8,0,-0.0820347536863865,-0.210615462804296,0.985520400850624,2.16918775500341,-0.472898267846908,0,-0.508586565805466,-0.428709772391774,0.517088279470129,1.14851314749896,-1.77595410225094,0.92064463717362
"ENSG00000079215",8,0,0.0839370769147852,0.18232495660249,1.35093586459209,2.44229740830483,0.0642882547598138,0,0.105863389530822,-0.0417115228217793,0.408913696086966,1.07146839072847,-1.92239288307122,0.921504648647396
"ENSG00000285294",8,0,-0.121844662035641,-0.0278273554529799,1.05267866748706,2.32634307331698,-0.166618803787117,0,-0.454676694284534,0.0301783489860912,0.379205621658003,1.32345758220631,-1.7112211387887,0.922929374601226
"ENSG00000143036",9,0,-0.223086980154928,-1.2081680134227,-1.21646090273349,-1.51569219870621,1.12085538079788,0,-0.337720521243251,-1.06824733992769,-1.17178020991587,-0.987482235202977,-2.88710471891761,-0.0232346056219374
"ENSG00000117525",9,0,-0.559316769184196,-1.60636048825689,-2.17268565913078,-2.13273635428033,-0.0879022055257555,0,-1.25898846684157,-1.94140290377795,-1.96962643961788,-1.58749991044865,-3.04116422391527,0.0711407060847725
"ENSG00000151014",9,0,-0.246576125273166,-1.32724314545794,-1.72369962944082,-1.57608359030763,0.747898275103944,0,0.322039358014366,-0.929985324822167,-0.0447221655044233,-1.00657594804462,-2.40071543909247,0.160865622204614
"ENSG00000158966",9,0,-0.19281875484698,-2.45823017915547,-1.38932929262852,-1.3541990192582,0.00337499945009578,0,0.262087495250511,-0.504774752955221,0.441580335610901,0.477704509351698,-2.1480660377911,0.245117188762386
"ENSG00000257594",9,0,-0.661395690959157,-1.65159073774217,-2.50279373884708,-2.16159445205732,-0.522488314352749,0,0.258590378647368,-0.108355107065166,-0.107205592660825,-1.0591438089526,-2.39263620627595,0.262491105769399
"ENSG00000167981",9,0,-0.254728415829483,-1.4889303981898,-2.25094679991179,-1.85189778644238,-0.0424112277319816,0,0.317739909965353,0.343003122133483,-1.48490734323028,-0.817315112848811,-2.04200321197478,0.290190121579656
"ENSG00000204262",9,0,-0.440839658967037,-2.50753115390099,-1.92853466202692,-0.32269551689775,-0.690509844528688,0,-1.53738695865107,-2.03538541581482,-1.80348822063564,-2.83641114975974,-0.735597737886158,0.290691802524973
"ENSG00000006062",9,0,-0.665354372450035,-1.82518686424378,-2.60211728550217,-1.80965814601992,-0.458390945364889,0,-0.469599775400691,0.46285492360333,-0.51579558439746,0.126029903111684,-2.35475991633669,0.291451054173155
"ENSG00000148339",9,0,-0.572442286697272,-1.68327016781646,-2.42330545128855,-2.09601238165661,-0.404148821876845,0,-1.29503557045688,0.517849448343075,0.448840586614018,-0.267907234240863,-1.96941361751943,0.319119851071425
"ENSG00000114737",9,0,-0.91040964381898,-2.24150445236996,-2.5105201027043,-2.1370266596347,-0.830342274480959,0,-0.527636207326586,0.251639334409387,0.509330981175805,0.0739660790716381,-2.23956807967218,0.324656719299204
"ENSG00000002587",9,0,-0.860336703225212,-1.41322478308867,-1.8180026457962,-2.07005936861954,0.416477735356191,0,-0.99702065766695,-1.00620321434466,0.846765391569429,0.319117747320764,-1.83416009246739,0.339559928703707
"ENSG00000108788",9,0,-1.16019100767835,-2.16310063399406,-2.7446947662758,-2.27542531735094,-1.19554822247901,0,-0.616534427367073,-0.287053852135901,0.839893068506424,0.593634642271704,-1.95386553308692,0.382476357939138
"ENSG00000125968",9,0,-1.36577449044818,-2.49839841508359,-2.66357072311352,-2.34620898860663,-1.54825100067548,0,-0.135063172496693,-0.325805617138736,-0.502682293896882,1.16545539586344,-1.94137167744351,0.405580031205511
"ENSG00000163251",9,0,-0.120819188744989,-1.36545283119844,-2.64041655278727,-0.663919642241108,-0.359786112020983,0,0.362801943971448,0.175384349589014,-0.0261224758281379,1.94123784529831,-1.16061776640945,0.414049186999185
"ENSG00000120875",9,0,-0.192619534027628,-1.48451318397036,-2.65675399903049,-1.26421685775698,-0.453030909694945,0,0.69812940032074,-2.19856724654098,-0.704222706004852,-0.379161885700975,-1.18709431007854,0.469121474900316
"ENSG00000078401",9,0,-0.776322825495744,-1.58455103684063,-2.02242531621657,-1.57148674875576,0.512677003824573,0,-0.164092940700477,-2.28602801191184,-2.32959198845056,-1.06870665138864,-1.01940800399107,0.484233319660702
"ENSG00000023445",9,0,-1.29431573873568,-2.44280467687394,-2.63956759128024,-2.18976864003974,-1.14209867185925,0,-0.440585326198167,-2.26836266681111,-2.51911656354232,-0.885604787133427,-1.30442977731772,0.556771496797301
"ENSG00000167749",9,0,0.286654323031455,-1.58884908930282,-1.12894824019824,-1.64408400751227,0.628843745636644,0,-1.44512162769914,0.443223971184763,-0.406335996294422,1.59873121910605,-0.00264462861421649,0.578100704782523
"ENSG00000173334",9,0,-0.505179408700222,-2.28187806957239,-2.57874469928366,-1.66131092202728,-1.33603899273921,0,1.28382806828878,-1.71853636296467,-0.90406329169885,-0.183409440144309,-0.418572006573531,0.607628125867918
"ENSG00000171522",9,0,-0.331643039872675,-1.23020732767757,-1.3716262796296,-1.52323288145428,1.05209558308789,0,-1.08086291109069,1.07380293513349,-0.168543149832373,-1.56592400586439,0.634389554924436,0.629241183963239
"ENSG00000105497",9,0,-1.23155653464962,-1.96833818860901,-0.701469127328481,-1.37784817493184,0.774700029108766,0,-1.66815250915371,0.744171934709538,0.813615216674466,0.508324145751956,1.04382394076975,0.657020507224574
"ENSG00000272886",9,0,-0.620751690381602,-1.45897494831203,-1.63767754847915,-1.18703507261969,0.980455864965126,0,0.0920215858968386,0.506784814857335,1.48561688775129,2.61551758138074,0.585699715975889,0.662668514340461
"ENSG00000134107",9,0,-0.585171494533237,-2.47034231597564,-2.44333995273788,-1.31293002061588,-0.950481828438589,0,1.60806517764492,-1.1183916983166,-0.751716528613393,-0.850416276203241,0.160998361427393,0.673666964002071
"ENSG00000100311",9,0,-1.11673313714245,-1.69354613026956,-2.81901084095022,-1.66766896228554,-0.475935225377404,0,-2.29216792535544,-0.337048537343764,-1.7867566068641,-1.45012049948338,0.0363563863381055,0.682624631052182
"ENSG00000136158",9,0,-0.623921879124896,-2.02992694265325,-1.69356819393718,-0.635443839002901,0.622292785386166,0,0.530233491914081,0.0820090038714633,1.40331926569373,2.67052695425589,0.997150533606886,0.701557319712254
"ENSG00000173805",9,0,-0.546561218411036,-1.5027493090892,-1.44363599575788,-2.02159346105523,0.577849184737338,0,-1.05825314659276,-0.766041913288159,-2.33694475602682,0.150637221854578,0.307616927417904,0.708593649085925
"ENSG00000115963",9,0,0.114622822159619,-1.28349558592343,-1.97510371056008,-1.23291269079539,0.573686998532167,0,1.29764193310739,-1.30844548535721,-0.91714815869984,-0.961921430697648,0.435880154602997,0.712066792722317
"ENSG00000125845",9,0,-0.325555273352979,-1.68242800456518,-2.00618956809859,-1.60819128802415,0.334802196991956,0,0.660366118224317,-1.29092256298296,0.157348364438479,1.79453041171579,0.306918806375056,0.739546632315976
"ENSG00000170919",9,0,-0.536207703081855,-2.34181983538442,-0.775541024982284,0.0457865117835252,0.492372321410585,0,-0.316513961136686,-0.52090127640637,-0.690852036749102,-0.625204828241203,1.94109264699796,0.767193617833056
"ENSG00000282458",9,0,-1.20711076742977,-2.95931628114611,-1.65724647315629,-2.09562493316251,-2.06170311331324,0,-0.660421916635346,-0.31509632648275,-0.12869181542579,0.181711032813972,2.16117986729577,0.768441987837894
"ENSG00000114656",9,0,-0.201626417687717,-1.33142749929867,-2.00654663336539,-2.02827607563541,0.109583403036783,0,-0.867261166773867,-0.139890231542801,-1.97515040150737,0.578748469935276,0.692762953813494,0.791186077116292
"ENSG00000171223",9,0,-1.96812752193187,-1.79228505594254,-1.46007369894584,-0.969201049816119,0.496006580360202,0,-1.06096373142395,0.305298297002503,0.709842810021345,0.865351444402352,1.95145083046842,0.79436702659042
"ENSG00000256433",9,0,-1.15958726859364,-1.56670039687972,-2.76954370069195,-1.50412864783202,-0.267956681880557,0,-0.774106236659371,1.00049887208582,1.53447822743656,0.985504382591644,1.92728867188503,0.795015344521475
"ENSG00000254231",9,0,0.0557833677769338,-1.14005203827538,-1.50533158146682,-1.28461718316263,1.05255375563251,0,0.481443491942766,-0.753614760861835,1.85666729745527,0.161276298328432,1.61561298986585,0.819181002073086
"ENSG00000164056",9,0,-0.0636513363892062,-1.01544043628721,-1.60415645538747,-1.01804681382906,1.18691788334095,0,1.50615791992189,0.467172643705113,0.111095849186464,-0.957354728859554,1.71071260696068,0.821801445152918
"ENSG00000269713",9,0,0.596388231884775,-1.18415298330198,-1.68193852557325,-1.0507613273738,0.683875887013298,0,0.982455420509758,-0.871338630554167,1.4349874295266,1.34608730429309,1.71546851331212,0.826847939634058
"ENSG00000125848",9,0,-0.523963726728428,-1.25532602810167,-1.81203283915091,-0.784401324777309,1.04743538583556,0,-0.898597661041546,-1.02493011392728,-0.629774831772986,1.23603480862263,1.10680817099548,0.828785415357257
"ENSG00000131203",9,0,0.594572698705837,-1.95228849080481,-1.34087893063989,-1.34976527380535,-0.040458827858558,0,-0.315748999855693,0.728178810225399,-1.11934123608716,-0.0510521126836229,1.81698916164298,0.829087340484947
"ENSG00000118263",9,0,0.161772282886876,-1.61429204093307,-2.10678288305369,-1.7510743322587,-0.285068659965887,0,1.25915420694195,-0.44259939162484,-1.24729277957107,-0.0653061307413519,1.33236831486155,0.842580639798993
"ENSG00000173846",9,0,-0.696385270021146,-1.66717809013802,-2.55951346049333,-1.9805980496369,-0.404723298478737,0,-1.85134101535958,-1.01489048641184,-0.104738464381433,-1.01833802789936,0.99461163604678,0.843971262174297
"ENSG00000111859",9,0,-0.105260967266862,-1.10973617563704,-2.02468206090027,-0.792109971026606,0.848342700615278,0,0.0442867824282007,-0.653640467243517,-1.06860134527641,-1.25038415938572,1.48714402651684,0.84512964830725
"ENSG00000270231",9,0,0.490456730527206,-1.00767112775853,-1.40763575770998,-0.387039879571989,1.33153834744699,0,-0.121363657256075,-0.0040340535005966,1.5607763744896,1.45936160837173,2.16465911607541,0.850805747769294
"ENSG00000177606",9,0,-1.6476005042405,-2.32170467199034,-2.10936151348059,-0.998286789959395,-0.0891456526895411,0,0.684132944513563,-1.15422489249387,-0.616857951629637,0.937266502870148,1.49789543410148,0.856236005780063
"ENSG00000120217",9,0,-0.698969806101023,-1.92420901112646,-0.592915611612688,-2.17467681776205,0.281334905071782,0,-0.101963670009074,-0.589291143224244,0.255385526574224,0.877601177871989,2.23663663144565,0.862036502004159
"ENSG00000127528",9,0,-0.806739494897949,-2.14024218263245,-2.20857636113813,-1.32322416064185,0.0613257928658728,0,0.438856714610859,-0.816839268073176,-1.59214011504348,-1.08692739109321,1.04737319565646,0.868146330506551
"ENSG00000118523",9,0,-0.146978876568497,-1.40872752228559,-1.98278945886306,-1.77503588035916,0.304802980776638,0,0.74300433885345,-0.602330935301054,-1.26301071618172,-0.952054254028704,1.29771925739586,0.871223408116719
"ENSG00000197622",9,0,-1.07245151662065,-1.26654991518391,-1.64091352519373,-0.934114934101755,1.06952998950896,0,-0.392414034848487,0.36286923026844,1.29826948116071,0.633335081025547,2.38579065113138,0.880732643437139
"ENSG00000130147",9,0,-0.062009740906555,-1.00803476661656,-1.99182402445024,-0.761125376057633,0.916972770140813,0,0.379174120624791,-1.01750275540341,-0.691581231610181,-0.743114751716037,1.67821056035707,0.886451311757449
"ENSG00000158079",9,0,-0.254648430084498,-1.54092944743031,-0.567202577981128,-1.44428915639082,1.15224952430644,0,-0.0876797688860081,-0.730408783947489,-0.31052478545943,0.0116071103072758,2.12907714497003,0.893217681322843
"ENSG00000125740",9,0,-1.53876273094985,-2.03693049230296,-2.81125027408316,-1.35850990803052,-0.61131298168578,0,0.750472247056878,-0.179656423360651,-0.623314818489102,-0.541545647801766,2.01472327845258,0.893305878917158
"ENSG00000142871",9,0,-0.0963570392369041,-1.65836925329473,-1.68744102642465,-1.19174325733565,0.722742535347654,0,1.03828365503766,-0.829999523169374,-0.688195973293608,1.07780251007064,1.53490447567799,0.896916362308378
"ENSG00000177788",9,0,-0.445216204022795,-1.1776344874841,-1.3078533905754,-1.63871016761924,1.04418273362131,0,-0.505373160490323,-1.29173197586458,-0.43572366328041,0.546327234735993,1.60894389123804,0.900166955376401
"ENSG00000067082",9,0,-0.498848590026794,-1.94713314149339,-1.8633005973343,-0.463395240159683,0.526905103077188,0,0.52840533525762,-0.859910075071192,-0.307433921427919,1.10931182581533,1.89424272650413,0.907873778527974
"ENSG00000108960",9,0,-0.208601461474501,-1.02395059855833,-2.00042919200525,-1.42173488938705,0.700586124992183,0,-0.0517600678913587,0.698754420916267,0.259391022255589,1.78804280645634,2.33777563402338,0.909119935476204
"ENSG00000135596",9,0,0.0583892143035447,-1.13534813406952,-1.87200122161243,-1.33833322835362,0.725536385267745,0,-0.840765823209309,-0.475174839828698,-0.676815012887526,0.958819411194221,1.65988250372827,0.913398768263263
"ENSG00000115355",9,0,-0.701047890753011,-2.02321667869547,-2.28114790262828,-0.590724393739112,0.0431243603929359,0,-0.0890225846488273,-0.833317294369719,-0.840970614089258,-0.731053743911963,1.77278470745648,0.915419407266027
"ENSG00000162078",9,0,-0.341360747141692,-1.17463644113013,-1.75756818373127,-1.66931489483094,0.748475586405344,0,0.39906436312365,-1.173306197337,-0.645849617534357,-0.697286154215326,1.61341271647554,0.916166494020953
"ENSG00000155090",9,0,-0.206666536579456,-1.46474522376935,-1.65186633200693,-0.768353961546594,1.02809848808706,0,0.175826580938659,-0.535329852510204,-0.839604899677248,-0.664507114137481,1.88043825712922,0.918758346976821
"ENSG00000057657",9,0,0.0995070138018325,-1.92461713309193,-1.67008786369423,-0.599493818829964,0.518519433053378,0,0.961556230940968,-0.235923724568137,-0.274964458912038,-0.148312371055686,2.23498663686635,0.923290080332173
"ENSG00000143878",9,0,-0.603341083975207,-2.12494097925463,-2.21097738552176,-1.39172201496472,-0.0116559959190494,0,0.681021309458117,-1.02642134282088,-1.16705313744869,-0.116382853400402,1.45335591657177,0.923318571384935
"ENSG00000148841",9,0,-0.493501475722581,-1.86825292023426,-1.27562737604171,-0.931875171144258,0.966390910082541,0,0.392911926222705,-0.191358792257327,0.838695766693321,-0.120210961693835,2.44509619153341,0.925437224866574
"ENSG00000137193",9,0,0.215681160591144,-1.19423897236156,-1.89981318226661,-1.1656278734772,0.673124036283265,0,1.15623979192207,-0.113525796253715,-0.792199430114406,0.240908536263142,1.99972741263759,0.926217894427327
"ENSG00000173848",9,0,-0.394645917738277,-1.2199866275836,-1.79659241630871,-1.34529125877487,0.895821112702188,0,-0.359590333957335,-0.861774592297904,-0.356517253910343,-0.906715789462465,1.80441393672149,0.928234963441327
