Gene,Cluster
ENSG00000054654,4
ENSG00000054690,10
ENSG00000054793,6
ENSG00000054967,7
ENSG00000054983,10
ENSG00000055044,7
ENSG00000055147,9
ENSG00000055208,9
ENSG00000055483,19
ENSG00000055917,3
ENSG00000055955,10
ENSG00000056097,15
ENSG00000056277,5
ENSG00000056736,16
ENSG00000057252,11
ENSG00000057657,9
ENSG00000058085,9
ENSG00000058262,15
ENSG00000058453,4
ENSG00000058600,7
ENSG00000059145,2
ENSG00000059573,19
ENSG00000059728,13
ENSG00000059769,15
ENSG00000059804,19
ENSG00000060138,19
ENSG00000060237,5
ENSG00000060339,9
ENSG00000060558,8
ENSG00000060566,20
ENSG00000060642,18
ENSG00000060688,15
ENSG00000060749,14
ENSG00000060762,11
ENSG00000060982,18
ENSG00000061273,1
ENSG00000061337,7
ENSG00000062282,6
ENSG00000062370,3
ENSG00000062485,11
ENSG00000062822,13
ENSG00000063180,8
ENSG00000063244,15
ENSG00000063660,15
ENSG00000063854,18
ENSG00000063978,16
ENSG00000064270,20
ENSG00000064309,13
ENSG00000064489,14
ENSG00000064601,4
ENSG00000064651,2
ENSG00000064652,7
ENSG00000064666,7
ENSG00000064692,10
ENSG00000064703,15
ENSG00000064763,16
ENSG00000064787,8
ENSG00000064886,9
ENSG00000064933,19
ENSG00000065029,4
ENSG00000065054,1
ENSG00000065057,7
ENSG00000065060,10
ENSG00000065154,4
ENSG00000065183,7
ENSG00000065308,6
ENSG00000065320,16
ENSG00000065328,16
ENSG00000065361,2
ENSG00000065491,9
ENSG00000065548,15
ENSG00000065600,7
ENSG00000065717,10
ENSG00000065809,6
ENSG00000065882,10
ENSG00000065911,6
ENSG00000066027,4
ENSG00000066135,12
ENSG00000066248,20
ENSG00000066279,9
ENSG00000066379,14
ENSG00000066422,1
ENSG00000066427,3
ENSG00000066468,11
ENSG00000066583,7
ENSG00000066651,19
ENSG00000066739,3
ENSG00000066855,9
ENSG00000067057,7
ENSG00000067064,20
ENSG00000067066,4
ENSG00000067082,1
ENSG00000067167,6
ENSG00000067191,8
ENSG00000067225,11
ENSG00000067334,7
ENSG00000067365,2
ENSG00000067369,20
ENSG00000067533,15
ENSG00000067560,15
ENSG00000067798,16
ENSG00000067836,8
ENSG00000067955,7
ENSG00000067992,12
ENSG00000068001,7
ENSG00000068024,16
ENSG00000068028,19
ENSG00000068078,10
ENSG00000068323,1
ENSG00000068394,9
ENSG00000068489,9
ENSG00000068654,15
ENSG00000068697,4
ENSG00000068971,20
ENSG00000069020,10
ENSG00000069399,8
ENSG00000069424,4
ENSG00000069493,3
ENSG00000069535,9
ENSG00000069702,18
ENSG00000069849,15
ENSG00000069869,8
ENSG00000069956,15
ENSG00000070010,11
ENSG00000070047,7
ENSG00000070081,10
ENSG00000070182,8
ENSG00000070404,19
ENSG00000070423,7
ENSG00000070444,5
ENSG00000070495,1
ENSG00000070526,6
ENSG00000070540,18
ENSG00000070669,10
ENSG00000070718,6
ENSG00000070731,10
ENSG00000070759,3
ENSG00000070785,15
ENSG00000070814,15
ENSG00000070882,16
ENSG00000070950,15
ENSG00000071073,10
ENSG00000071127,15
ENSG00000071189,3
ENSG00000071242,10
ENSG00000071243,5
ENSG00000071282,10
ENSG00000071462,11
ENSG00000071537,18
ENSG00000071539,15
ENSG00000071553,18
ENSG00000071575,6
ENSG00000072110,7
ENSG00000072121,2
ENSG00000072135,10
ENSG00000072195,8
ENSG00000072274,11
ENSG00000072310,16
ENSG00000072422,18
ENSG00000072571,9
ENSG00000072756,16
ENSG00000072786,17
ENSG00000072818,8
ENSG00000072849,19
ENSG00000072864,9
ENSG00000072954,19
ENSG00000073008,19
ENSG00000073060,11
ENSG00000073067,8
ENSG00000073111,16
ENSG00000073169,1
ENSG00000073331,18
ENSG00000073350,10
ENSG00000073417,7
ENSG00000073464,7
ENSG00000073536,15
ENSG00000073605,8
ENSG00000073711,12
ENSG00000073756,14
ENSG00000073849,6
ENSG00000074047,15
ENSG00000074071,15
ENSG00000074181,8
ENSG00000074219,19
ENSG00000074370,8
ENSG00000074527,12
ENSG00000074582,11
ENSG00000074621,18
ENSG00000074660,8
ENSG00000074696,6
ENSG00000074800,15
ENSG00000074855,8
ENSG00000074935,10
ENSG00000074964,4
ENSG00000075043,12
ENSG00000075131,7
ENSG00000075151,19
ENSG00000075223,4
ENSG00000075234,15
ENSG00000075240,8
ENSG00000075303,4
ENSG00000075399,8
ENSG00000075407,12
ENSG00000075413,11
ENSG00000075420,19
ENSG00000075426,3
ENSG00000075618,15
ENSG00000075624,16
ENSG00000075643,6
ENSG00000075702,15
ENSG00000075914,16
ENSG00000075945,11
ENSG00000076003,16
ENSG00000076248,16
ENSG00000076258,18
ENSG00000076321,12
ENSG00000076351,6
ENSG00000076356,16
ENSG00000076513,4
ENSG00000076554,7
ENSG00000076555,3
ENSG00000076604,1
ENSG00000076716,6
ENSG00000076864,20
ENSG00000076928,12
ENSG00000076984,2
ENSG00000077044,6
ENSG00000077092,2
ENSG00000077150,18
ENSG00000077152,15
ENSG00000077238,19
ENSG00000077348,15
ENSG00000077458,2
ENSG00000077514,16
ENSG00000077585,4
ENSG00000078018,8
ENSG00000078070,18
ENSG00000078081,20
ENSG00000078124,7
ENSG00000078142,4
ENSG00000078237,7
ENSG00000078246,3
ENSG00000078401,1
ENSG00000078487,20
ENSG00000078579,11
ENSG00000078699,18
ENSG00000078747,5
ENSG00000078804,18
ENSG00000078814,8
ENSG00000078900,8
ENSG00000079150,10
ENSG00000079215,18
ENSG00000079246,15
ENSG00000079308,8
ENSG00000079337,16
ENSG00000079385,6
ENSG00000079459,18
ENSG00000079462,16
ENSG00000079739,4
ENSG00000079950,4
ENSG00000079999,5
ENSG00000080031,18
ENSG00000080189,3
ENSG00000080298,18
ENSG00000080345,16
ENSG00000080493,16
ENSG00000080503,12
ENSG00000080546,2
ENSG00000080573,6
ENSG00000080608,7
ENSG00000080823,9
ENSG00000080824,15
ENSG00000080839,5
ENSG00000080947,20
ENSG00000080986,5
ENSG00000081019,2
ENSG00000081041,10
ENSG00000081059,16
ENSG00000081181,9
ENSG00000081307,11
ENSG00000081320,5
ENSG00000081377,18
ENSG00000081692,7
ENSG00000081721,15
ENSG00000081803,10
ENSG00000081913,3
ENSG00000082014,19
ENSG00000082153,15
ENSG00000082196,10
ENSG00000082212,15
ENSG00000082269,19
ENSG00000082497,7
ENSG00000082512,19
ENSG00000082516,15
ENSG00000082641,5
ENSG00000082996,3
ENSG00000083093,5
ENSG00000083312,15
ENSG00000083457,7
ENSG00000083535,8
ENSG00000083635,7
ENSG00000083799,18
ENSG00000083838,12
ENSG00000083857,15
ENSG00000084070,11
ENSG00000084073,11
ENSG00000084092,12
ENSG00000084444,20
ENSG00000084636,10
ENSG00000084652,7
ENSG00000084693,18
ENSG00000084710,19
ENSG00000084731,3
ENSG00000084764,18
ENSG00000085063,4
ENSG00000085231,7
ENSG00000085274,16
ENSG00000085276,11
ENSG00000085382,4
ENSG00000085415,7
ENSG00000085465,18
ENSG00000085552,18
ENSG00000085644,9
ENSG00000085721,15
ENSG00000085760,9
ENSG00000085831,10
ENSG00000085840,5
ENSG00000085871,6
ENSG00000085872,15
ENSG00000085978,19
ENSG00000085999,16
ENSG00000086015,16
ENSG00000086061,17
ENSG00000086189,15
ENSG00000086619,4
ENSG00000086696,4
ENSG00000086712,15
ENSG00000086730,7
ENSG00000086758,9
ENSG00000087053,11
ENSG00000087074,3
ENSG00000087076,10
ENSG00000087087,11
ENSG00000087095,8
ENSG00000087157,8
ENSG00000087263,7
ENSG00000087269,15
ENSG00000087448,10
ENSG00000087586,9
ENSG00000087842,12
ENSG00000087995,7
ENSG00000088002,19
ENSG00000088035,19
ENSG00000088053,8
ENSG00000088179,4
ENSG00000088205,15
ENSG00000088280,8
ENSG00000088340,8
ENSG00000088356,15
ENSG00000088367,19
ENSG00000088538,18
ENSG00000088543,20
ENSG00000088826,11
ENSG00000088899,1
ENSG00000088970,12
ENSG00000088986,19
ENSG00000089048,15
ENSG00000089057,18
ENSG00000089091,18
ENSG00000089163,12
ENSG00000089195,7
ENSG00000089220,10
ENSG00000089225,3
ENSG00000089280,16
ENSG00000089335,2
ENSG00000089356,4
ENSG00000089472,10
ENSG00000089682,12
ENSG00000089692,20
ENSG00000089723,17
ENSG00000089737,7
ENSG00000089818,14
ENSG00000089820,10
ENSG00000089847,8
ENSG00000089876,3
ENSG00000090006,10
ENSG00000090020,17
ENSG00000090061,11
ENSG00000090097,7
ENSG00000090238,3
ENSG00000090273,15
ENSG00000090339,10
ENSG00000090382,10
ENSG00000090447,16
ENSG00000090520,19
ENSG00000090554,18
ENSG00000090857,2
ENSG00000090861,10
ENSG00000090889,9
ENSG00000090924,1
ENSG00000090971,4
ENSG00000090989,18
ENSG00000091009,5
ENSG00000091127,16
ENSG00000091129,16
ENSG00000091136,6
ENSG00000091409,10
ENSG00000091527,7
ENSG00000091592,4
ENSG00000091651,16
ENSG00000091879,16
ENSG00000091986,10
ENSG00000092010,10
ENSG00000092036,12
ENSG00000092068,4
ENSG00000092108,11
ENSG00000092199,11
ENSG00000092208,11
ENSG00000092295,8
ENSG00000092439,4
ENSG00000092445,6
ENSG00000092470,16
ENSG00000092758,20
ENSG00000092820,7
ENSG00000092841,15
ENSG00000092853,16
ENSG00000092871,17
ENSG00000092931,4
ENSG00000092964,16
ENSG00000092978,16
ENSG00000093009,16
ENSG00000093217,19
ENSG00000094631,8
ENSG00000094804,16
