"gene_name","logFC_5Z_1h","logFC_PI_1h","logFC_PD_1h","logFC_PIPD_1h","logFC_PI5Z_1h","logFC_5Z_2h","logFC_PI_2h","logFC_PD_2h","logFC_PIPD_2h","logFC_PI5Z_2h","logFC_5Z_4h","logFC_PI_4h","logFC_PD_4h","logFC_PIPD_4h","logFC_PI5Z_4h","logFC_5Z_8h","logFC_PI_8h","logFC_PD_8h","logFC_PIPD_8h","logFC_PI5Z_8h","logFC_5Z_24h","logFC_PI_24h","logFC_PD_24h","logFC_PIPD_24h","logFC_PI5Z_24h","adj.P.Val_5Z_1h","adj.P.Val_PI_1h","adj.P.Val_PD_1h","adj.P.Val_PIPD_1h","adj.P.Val_PI5Z_1h","adj.P.Val_5Z_2h","adj.P.Val_PI_2h","adj.P.Val_PD_2h","adj.P.Val_PIPD_2h","adj.P.Val_PI5Z_2h","adj.P.Val_5Z_4h","adj.P.Val_PI_4h","adj.P.Val_PD_4h","adj.P.Val_PIPD_4h","adj.P.Val_PI5Z_4h","adj.P.Val_5Z_8h","adj.P.Val_PI_8h","adj.P.Val_PD_8h","adj.P.Val_PIPD_8h","adj.P.Val_PI5Z_8h","adj.P.Val_5Z_24h","adj.P.Val_PI_24h","adj.P.Val_PD_24h","adj.P.Val_PIPD_24h","adj.P.Val_PI5Z_24h"
"IER3",NA,NA,-1.17572761567428,-1.06890771157346,NA,-1.79131026484453,1.47756200946736,-1.5567834795912,NA,NA,-2.29370007374197,1.66278724315299,-1.87514372817783,NA,-1.20838326176118,-1.89640632156676,NA,-1.9936988757689,NA,-1.27674664783148,-1.41117274263397,NA,-3.1042293925425,-2.3374967415655,-2.10313165592572,NA,NA,0.00103882810626134,8.90862103962642e-05,NA,3.37406278648921e-09,9.76781784774709e-12,8.52660200128916e-08,NA,NA,3.14901634360259e-14,1.33700471503376e-14,2.42879605353629e-12,NA,1.61883294033889e-07,1.43152307090401e-12,NA,3.54622154496656e-12,NA,2.43240627877825e-09,1.56038701135728e-11,NA,3.34551810225912e-24,3.38155830288391e-20,2.63493296813915e-17
"OTUD1",NA,NA,NA,1.04745408395844,NA,NA,1.0729563101515,NA,1.56029653711807,1.09415906295544,NA,NA,NA,1.62415042124924,1.15273853108698,NA,NA,NA,1.07672086615801,NA,NA,NA,NA,1.09743675846051,NA,NA,NA,NA,3.4732820609826e-08,NA,NA,1.32908367679788e-10,NA,2.85540709501738e-17,2.85412354930511e-10,NA,NA,NA,4.6418106819305e-18,1.02033352554209e-11,NA,NA,NA,7.04426949856753e-13,NA,NA,NA,NA,5.72458516220793e-14,NA
"DUSP2",NA,NA,NA,-1.32421753313173,-1.21560684657915,NA,-1.02092481909518,NA,-2.5389662704823,-1.98479587374547,-1.39267914292419,NA,-1.49341480518993,-2.60642642391246,-2.50215233668821,-1.38737139586489,NA,-1.39679581155559,-1.67754169032757,-1.62841566085751,NA,NA,NA,NA,NA,NA,NA,NA,1.38115513407316e-07,2.04683755547187e-06,NA,2.20012907168974e-06,NA,1.14597128632535e-13,2.607090102409e-10,4.98385606442577e-10,NA,6.52428188783191e-11,2.4241194355746e-15,4.74568442125815e-14,2.24120032619482e-08,NA,1.01965327634035e-07,2.26508141826396e-11,1.87091314827616e-10,NA,NA,NA,NA,NA
"KLF10",NA,NA,NA,-1.08858045856463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70311099051928e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CISH",NA,NA,NA,-1.40608143389423,-1.10810265505844,NA,-1.12920807074639,NA,-1.1297351181017,-1.66073417606788,-1.10333418092652,-1.85914553409511,NA,-1.54775850718948,-1.80971756036885,NA,NA,NA,NA,NA,NA,NA,NA,1.18347364024026,NA,NA,NA,NA,0.000220086743846368,0.00567119987336364,NA,0.000171888694394207,NA,0.000229071638893189,1.13944235353995e-05,3.93412061846952e-05,4.37492118461908e-08,NA,1.56885394405291e-07,6.13755846152051e-08,NA,NA,NA,NA,NA,NA,NA,NA,1.45426304498995e-07,NA
"ID1",NA,NA,NA,-1.29424037662185,-1.79704399294859,-1.43682611817171,NA,NA,-1.42816873731728,-2.92141120364309,-1.55022691841193,NA,NA,-1.3232344767511,-2.33213805288789,-1.79299534852168,NA,-1.05293432565367,-1.43205341193622,-2.45712773073776,NA,NA,NA,NA,NA,NA,NA,NA,0.000445265388095931,2.04683755547187e-06,6.24576420408167e-05,NA,NA,1.16776748197903e-05,1.13918010652921e-10,8.17534873243299e-07,NA,NA,5.64901716894467e-06,1.3283858486691e-10,9.25241849613089e-09,NA,0.000205574000597689,3.02353614890522e-07,6.99925241748891e-13,NA,NA,NA,NA,NA
"IRX5",NA,NA,NA,1.17236428270545,NA,NA,NA,NA,1.84849373290492,1.50016810464669,1.00847697712938,1.18343296857945,1.21199770599939,1.40512215027669,1.63713634758313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000220086743846368,NA,NA,NA,NA,8.38708142439367e-13,8.98069637237494e-09,0.000353580321076461,1.97346398834802e-05,1.248054346317e-05,1.66888445103136e-07,4.12950467895806e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARRDC3",NA,NA,NA,1.84212987655786,2.32171132545798,2.8122738142105,1.54494145238173,NA,2.43089986105284,4.07718266622188,3.68539715495584,NA,1.42461760876177,2.05704669496507,4.20279959646436,3.19326606382123,NA,1.4732213500502,NA,3.36757358322458,1.63925640384629,NA,1.51746759187632,NA,NA,NA,NA,NA,0.00110750943348398,1.19690711397018e-05,8.34261554956908e-07,0.00788105218064818,NA,4.52512321928524e-06,8.4841880929082e-13,8.72548291983014e-13,NA,0.00445869982062276,6.04360950561043e-06,1.98289447274835e-15,5.58962133860239e-11,NA,0.0018483290446302,NA,1.93166831221921e-12,0.00176711826841795,NA,0.000938198925247682,NA,NA
"BMF",NA,NA,NA,1.22517071075675,NA,NA,2.34639533046684,1.35578489007654,3.40651352445757,2.41987538047829,1.00543152768922,3.62091705943516,2.60537881999524,5.02487168046828,4.08273676520202,NA,2.65802368507483,2.38043335129548,3.83069052017353,2.93052269012428,NA,1.47554405462582,1.48077208712203,2.64433435667769,NA,NA,NA,NA,0.00597958323712327,NA,NA,1.21724159727711e-11,0.000198568746182296,2.22663165481262e-18,6.56513688739862e-12,0.0161835360172863,3.59824787443078e-16,1.48833989383508e-10,1.19752834573328e-22,1.21248053450142e-18,NA,6.2192530512832e-13,1.81777027769319e-11,1.58676042173227e-20,1.18500100774812e-15,NA,2.76500757220965e-07,8.00091518278474e-08,2.41981807309082e-16,NA
"CYP1A1",NA,NA,NA,1.73204925672721,NA,NA,4.07419723920239,NA,4.92841238668416,4.7100681528531,1.96216593412025,5.6393354758407,2.04540044243912,6.80758731245565,6.86706985283745,2.29294871156745,6.3139290217054,2.07275476171712,7.17073109434396,7.56829667076595,NA,3.76490332335642,NA,4.60700179339357,2.66178753239942,NA,NA,NA,0.0223700697368894,NA,NA,5.22525046481874e-13,NA,1.58336640105365e-16,2.2032309789584e-15,0.000219037749953156,9.53924839331551e-19,0.000104381266966588,1.1119911558155e-22,6.89884933301227e-23,3.88669205924596e-05,1.45885025206766e-18,0.00028066804194071,3.37888718645672e-22,4.989671195286e-23,NA,1.33823879045498e-18,NA,8.33170253845134e-24,6.63346217214699e-13
