"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"CDX2","PI5Z_4h","PI5Z","4h",1.49471821024388,1.19190473185753e-19
"CDX2","PI5Z_8h","PI5Z","8h",1.41723938056283,7.39657648795954e-19
"CEACAM1","PI5Z_24h","PI5Z","24h",1.33300013649974,3.63571392012833e-14
"CEBPA","PI5Z_24h","PI5Z","24h",1.12122983084927,4.44286717729566e-09
"CEBPD","PI5Z_8h","PI5Z","8h",1.28261767511932,3.00195101723562e-06
"CEBPD","PI5Z_24h","PI5Z","24h",1.37181167979236,7.6369290416664e-07
"CEP164","PI5Z_24h","PI5Z","24h",-1.14757276540387,2.56797508594438e-21
"CEP44","PI5Z_4h","PI5Z","4h",1.2517329128162,9.51134221673338e-12
"CEP85L","PI5Z_24h","PI5Z","24h",-1.09023329877591,2.92058005652139e-07
"CEP97","PI5Z_4h","PI5Z","4h",1.07285164778884,2.15519747236187e-11
"CGB8","PI5Z_8h","PI5Z","8h",-2.71122801892936,0.0304302340110524
"CGNL1","PI5Z_8h","PI5Z","8h",1.47389220352505,0.00569782400174117
"CHD6","PI5Z_4h","PI5Z","4h",1.09348898008349,2.746419769676e-18
"CHMP4C","PI5Z_24h","PI5Z","24h",-1.00076144427945,4.47104731615777e-11
"CICP18","PI5Z_8h","PI5Z","8h",1.00479964508968,4.55422426245238e-05
"CKLF-CMTM1","PI5Z_8h","PI5Z","8h",-1.20967604582313,0.0428736347341612
"CLDN19","PI5Z_8h","PI5Z","8h",2.29332649355935,0.00783358951172114
"CLDN23","PI5Z_24h","PI5Z","24h",1.05086627169552,4.01136203160321e-09
"CLDN6","PI5Z_24h","PI5Z","24h",1.16138290360196,2.0167108019961e-12
"CLDN9","PI5Z_8h","PI5Z","8h",1.03424678138897,5.42003965108572e-05
"CLN6","PI5Z_24h","PI5Z","24h",1.00424347424096,2.50131137232035e-12
"CLOCK","PI5Z_4h","PI5Z","4h",-1.0750504569754,1.23583804292736e-20
"CLUH","PI5Z_8h","PI5Z","8h",-1.04917738280447,5.77539407542709e-17
