"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"SH2B1","PIPD_24h","PIPD","24h",1.12427334360708,4.49600825621626e-13
"SH2B3","PIPD_24h","PIPD","24h",-1.76102331666535,4.68830120659663e-07
"SH2D5","PIPD_8h","PIPD","8h",-1.46636498688381,1.00579707493351e-05
"SH3GL1P1","PIPD_8h","PIPD","8h",1.49234643502667,0.00376948051284126
"SHD","PIPD_24h","PIPD","24h",1.32479818229525,0.00120323264375682
"SHISA9","PIPD_4h","PIPD","4h",1.69840751479732,0.0212259511477807
"SIGMAR1","PIPD_8h","PIPD","8h",-1.00475840281144,1.81247948932843e-14
"SLC17A5","PIPD_24h","PIPD","24h",1.57147633424953,1.25143494156091e-19
"SLC19A1","PIPD_8h","PIPD","8h",-1.43834194594104,1.62379443766295e-16
"SLC19A2","PIPD_4h","PIPD","4h",1.06817873407309,2.32375493348947e-07
"SLC19A2","PIPD_24h","PIPD","24h",1.56016502922448,2.07756716119077e-12
"SLC1A5","PIPD_4h","PIPD","4h",-1.03350249662368,6.44287501262489e-05
"SLC1A5","PIPD_8h","PIPD","8h",-1.87637767549947,3.95564966262248e-11
"SLC1A5","PIPD_24h","PIPD","24h",-2.00243687383753,2.22070775281103e-12
"SLC25A15","PIPD_4h","PIPD","4h",-1.14787233149138,2.33964144385195e-15
"SLC25A15","PIPD_8h","PIPD","8h",-1.43404960617087,9.85642421590073e-20
"SLC25A22","PIPD_4h","PIPD","4h",-1.0487803377728,1.14511058133444e-12
"SLC25A22","PIPD_8h","PIPD","8h",-1.53355914536681,1.3445915650574e-18
"SLC25A30","PIPD_8h","PIPD","8h",-1.10200162467051,5.89015845145461e-16
"SLC25A33","PIPD_4h","PIPD","4h",-1.0765582845871,5.57962690645777e-11
"SLC31A2","PIPD_24h","PIPD","24h",1.2516731442688,1.64976150701254e-12
"SLC35E2A","PIPD_4h","PIPD","4h",1.04499690004383,0.000239487385851572
"SLC35F2","PIPD_8h","PIPD","8h",-1.06154973545316,1.66259153904013e-18
"SLC38A1","PIPD_24h","PIPD","24h",-1.71458868899728,4.32917128188804e-15
"SLC39A13","PIPD_24h","PIPD","24h",1.04792707601518,4.93924320499794e-14
