"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"VWA1","PIPD_24h","PIPD","24h",1.41094318359796,3.22850058310252e-19
"WBP1LP2","PIPD_4h","PIPD","4h",-1.35958998937781,0.0299857945002711
"WDR31","PIPD_8h","PIPD","8h",1.04950186017456,7.43782750810172e-07
"WDR36","PIPD_8h","PIPD","8h",-1.08973448529107,3.59867253918523e-18
"WDR36","PIPD_24h","PIPD","24h",-1.11354915128353,5.88604334142429e-19
"WDR43","PIPD_4h","PIPD","4h",-1.10552469369955,1.38691238118815e-16
"WDR43","PIPD_8h","PIPD","8h",-1.10622487516758,9.59578232272492e-17
"WDR62","PIPD_8h","PIPD","8h",-1.23214564944585,8.35080583967086e-15
"WDR74","PIPD_8h","PIPD","8h",-1.00042891216271,1.20204898651901e-17
"WDR74","PIPD_24h","PIPD","24h",-1.25622708699145,3.32926772286152e-21
"WDR77","PIPD_8h","PIPD","8h",-1.30724075062425,3.27399349212675e-20
"WDR97","PIPD_8h","PIPD","8h",-1.0414969382544,2.88682957265303e-05
"WDSUB1","PIPD_4h","PIPD","4h",1.21034395424191,1.34939799594636e-12
"WFIKKN1","PIPD_8h","PIPD","8h",1.08035976040674,0.00417546945938784
"WNT2B","PIPD_24h","PIPD","24h",1.28758637748601,0.00278947534608221
"WNT6","PIPD_8h","PIPD","8h",1.27458260348472,1.97611354343815e-11
"WNT6","PIPD_24h","PIPD","24h",1.01913330873995,4.51071076114258e-09
"XBP1","PIPD_4h","PIPD","4h",-1.49492028782266,2.14294385437922e-14
"XK","PIPD_24h","PIPD","24h",-1.31001738292986,1.90011309036982e-15
"XKRX","PIPD_4h","PIPD","4h",1.05300819090606,0.0161473551848909
"XPO5","PIPD_24h","PIPD","24h",-1.07925193350979,1.81163024789657e-21
"XRCC2","PIPD_8h","PIPD","8h",-1.27182324120061,6.32830811805052e-16
"XRCC2","PIPD_24h","PIPD","24h",-1.11466129581843,2.78913399212137e-12
"XRCC3","PIPD_8h","PIPD","8h",-1.14894410367994,1.25015000852472e-14
"XRN1","PIPD_4h","PIPD","4h",1.03155213950156,3.68085830526514e-12
"YBX1P1","PIPD_24h","PIPD","24h",-1.09169532408781,0.00131619272641485
"YBX3","PIPD_24h","PIPD","24h",-1.03419531268035,8.76455527518489e-20
"ZBED6CL","PIPD_24h","PIPD","24h",1.46544279121692,9.50719134161474e-24
"ZBTB2","PIPD_8h","PIPD","8h",-1.12565219658871,3.07005518344932e-18
"ZBTB21","PIPD_24h","PIPD","24h",-1.09299108801793,8.69233850727676e-16
"ZBTB22","PIPD_4h","PIPD","4h",1.15609319997275,1.72960532747679e-15
"ZC3H12A","PIPD_2h","PIPD","2h",-1.01474090499525,2.6819163819454e-07
"ZCCHC8","PIPD_24h","PIPD","24h",-1.01783154966119,8.11432604445629e-12
"ZFAND1","PIPD_24h","PIPD","24h",-1.54810679389184,6.01498916176174e-11
"ZFAND2A-DT","PIPD_4h","PIPD","4h",1.02236756092461,1.2630368831516e-05
"ZNF165","PIPD_2h","PIPD","2h",1.24655686999087,3.929627496123e-06
"ZNF19","PIPD_2h","PIPD","2h",1.43974271542098,9.1229849379649e-07
"ZNF35","PIPD_4h","PIPD","4h",-1.16158771878983,3.83528355158343e-14
"ZNF35","PIPD_8h","PIPD","8h",-1.03226723366173,3.41887424063818e-12
"ZNF425","PIPD_8h","PIPD","8h",1.19303285112685,8.94887056568679e-06
"ZNF438","PIPD_4h","PIPD","4h",1.32692428356608,5.17483047111875e-10
"ZNF492","PIPD_24h","PIPD","24h",-1.06473529788236,6.2039650375224e-07
"ZNF554","PIPD_8h","PIPD","8h",1.11751738943477,8.17618053768405e-07
"ZNF572","PIPD_2h","PIPD","2h",1.00117130648459,0.000124118600053639
"ZNF572","PIPD_4h","PIPD","4h",1.46638270169857,4.636105695505e-09
"ZNF572","PIPD_8h","PIPD","8h",1.1111772816634,4.16277809291568e-07
"ZNF575","PIPD_4h","PIPD","4h",1.0368530083068,9.06441814088637e-05
"ZNF593","PIPD_4h","PIPD","4h",-1.00542317600187,1.47431839051764e-09
"ZNF593","PIPD_8h","PIPD","8h",-1.08115710287474,7.99146771608521e-11
"ZNF593","PIPD_24h","PIPD","24h",-1.00138475299672,5.89186797924518e-10
"ZNF688","PIPD_4h","PIPD","4h",1.12287510939464,4.02241614453744e-09
"ZNF697","PIPD_8h","PIPD","8h",-1.08678122739439,3.55696411230961e-07
"ZNF697","PIPD_24h","PIPD","24h",-1.08613706073586,1.29923906912291e-08
"ZNF724","PIPD_24h","PIPD","24h",-1.05994162084616,7.98594361890482e-09
"ZNF76","PIPD_8h","PIPD","8h",1.43448907086676,3.93999079342433e-13
"ZNF770","PIPD_24h","PIPD","24h",-1.07812740770331,4.95513965671141e-17
"ZNF775","PIPD_2h","PIPD","2h",1.01281465698103,0.000778144444069966
"ZNF775","PIPD_4h","PIPD","4h",1.16807836261167,5.88384936455925e-06
"ZNF887P","PIPD_24h","PIPD","24h",-1.3865935506774,0.0108692379528312
"ZNNT1","PIPD_8h","PIPD","8h",1.07829475866155,0.0181500917896032
"ZSCAN12","PIPD_24h","PIPD","24h",-1.37305781665746,4.27082597127493e-08
"ZSCAN2","PIPD_4h","PIPD","4h",1.07722960665005,8.34647120673054e-08
"ZSCAN23","PIPD_4h","PIPD","4h",1.45368042142604,0.00540725154372227
"ZSCAN23","PIPD_8h","PIPD","8h",1.03593263159845,0.0120821024680606
"ZWILCH","PIPD_24h","PIPD","24h",-1.11047165357185,1.53960411086465e-13
